Road ID,00:00-00:05,00:05 - 00:10,00:10 - 00:15,00:15 - 00:20,00:20 - 00:25,00:25 - 00:30,00:30 - 00:35,00:35 - 00:40,00:40 - 00:45,00:45 - 00:50,00:50 - 00:55,00:55 - 01:00,01:00 - 01:05,01:05 - 01:10,01:10 - 01:15,01:15 - 01:20,01:20 - 01:25,01:25 - 01:30,01:30 - 01:35,01:35 - 01:40,01:40 - 01:45,01:45 - 01:50,01:50 - 01:55,01:55 - 02:00,02:00 - 02:05,02:05 - 02:10,02:10 - 02:15,02:15 - 02:20,02:20 - 02:25,02:25 - 02:30,02:30 - 02:35,02:35 - 02:40,02:40 - 02:45,02:45 - 02:50,02:50 - 02:55,02:55 - 03:00,03:00 - 03:05,03:05 - 03:10,03:10 - 03:15,03:15 - 03:20,03:20 - 03:25,03:25 - 03:30,03:30 - 03:35,03:35 - 03:40,03:40 - 03:45,03:45 - 03:50,03:50 - 03:55,03:55 - 04:00,04:00 - 04:05,04:05 - 04:10,04:10 - 04:15,04:15 - 04:20,04:20 - 04:25,04:25 - 04:30,04:30 - 04:35,04:35 - 04:40,04:40 - 04:45,04:45 - 04:50,04:50 - 04:55,04:55 - 05:00,05:00 - 05:05,05:05 - 05:10,05:10 - 05:15,05:15 - 05:20,05:20 - 05:25,05:25 - 05:30,05:30 - 05:35,05:35 - 05:40,05:40 - 05:45,05:45 - 05:50,05:50 - 05:55,05:55 - 06:00,06:00 - 06:05,06:05 - 06:10,06:10 - 06:15,06:15 - 06:20,06:20 - 06:25,06:25 - 06:30,06:30 - 06:35,06:35 - 06:40,06:40 - 06:45,06:45 - 06:50,06:50 - 06:55,06:55 - 07:00,07:00 - 07:05,07:05 - 07:10,07:10 - 07:15,07:15 - 07:20,07:20 - 07:25,07:25 - 07:30,07:30 - 07:35,07:35 - 07:40,07:40 - 07:45,07:45 - 07:50,07:50 - 07:55,07:55 - 08:00,08:00 - 08:05,08:05 - 08:10,08:10 - 08:15,08:15 - 08:20,08:20 - 08:25,08:25 - 08:30,08:30 - 08:35,08:35 - 08:40,08:40 - 08:45,08:45 - 08:50,08:50 - 08:55,08:55 - 09:00,09:00 - 09:05,09:05 - 09:10,09:10 - 09:15,09:15 - 09:20,09:20 - 09:25,09:25 - 09:30,09:30 - 09:35,09:35 - 09:40,09:40 - 09:45,09:45 - 09:50,09:50 - 09:55,09:55 - 10:00,10:00 - 10:05,10:05 - 10:10,10:10 - 10:15,10:15 - 10:20,10:20 - 10:25,10:25 - 10:30,10:30 - 10:35,10:35 - 10:40,10:40 - 10:45,10:45 - 10:50,10:50 - 10:55,10:55 - 11:00,11:00 - 11:05,11:05 - 11:10,11:10 - 11:15,11:15 - 11:20,11:20 - 11:25,11:25 - 11:30,11:30 - 11:35,11:35 - 11:40,11:40 - 11:45,11:45 - 11:50,11:50 - 11:55,11:55 - 12:00,12:00 - 12:05,12:05 - 12:10,12:10 - 12:15,12:15 - 12:20,12:20 - 12:25,12:25 - 12:30,12:30 - 12:35,12:35 - 12:40,12:40 - 12:45,12:45 - 12:50,12:50 - 12:55,12:55 - 13:00,13:00 - 13:05,13:05 - 13:10,13:10 - 13:15,13:15 - 13:20,13:20 - 13:25,13:25 - 13:30,13:30 - 13:35,13:35 - 13:40,13:40 - 13:45,13:45 - 13:50,13:50 - 13:55,13:55 - 14:00,14:00 - 14:05,14:05 - 14:10,14:10 - 14:15,14:15 - 14:20,14:20 - 14:25,14:25 - 14:30,14:30 - 14:35,14:35 - 14:40,14:40 - 14:45,14:45 - 14:50,14:50 - 14:55,14:55 - 15:00,15:00 - 15:05,15:05 - 15:10,15:10 - 15:15,15:15 - 15:20,15:20 - 15:25,15:25 - 15:30,15:30 - 15:35,15:35 - 15:40,15:40 - 15:45,15:45 - 15:50,15:50 - 15:55,15:55 - 16:00,16:00 - 16:05,16:05 - 16:10,16:10 - 16:15,16:15 - 16:20,16:20 - 16:25,16:25 - 16:30,16:30 - 16:35,16:35 - 16:40,16:40 - 16:45,16:45 - 16:50,16:50 - 16:55,16:55 - 17:00,17:00 - 17:05,17:05 - 17:10,17:10 - 17:15,17:15 - 17:20,17:20 - 17:25,17:25 - 17:30,17:30 - 17:35,17:35 - 17:40,17:40 - 17:45,17:45 - 17:50,17:50 - 17:55,17:55 - 18:00,18:00 - 18:05,18:05 - 18:10,18:10 - 18:15,18:15 - 18:20,18:20 - 18:25,18:25 - 18:30,18:30 - 18:35,18:35 - 18:40,18:40 - 18:45,18:45 - 18:50,18:50 - 18:55,18:55 - 19:00,19:00 - 19:05,19:05 - 19:10,19:10 - 19:15,19:15 - 19:20,19:20 - 19:25,19:25 - 19:30,19:30 - 19:35,19:35 - 19:40,19:40 - 19:45,19:45 - 19:50,19:50 - 19:55,19:55 - 20:00,20:00 - 20:05,20:05 - 20:10,20:10 - 20:15,20:15 - 20:20,20:20 - 20:25,20:25 - 20:30,20:30 - 20:35,20:35 - 20:40,20:40 - 20:45,20:45 - 20:50,20:50 - 20:55,20:55 - 21:00,21:00 - 21:05,21:05 - 21:10,21:10 - 21:15,21:15 - 21:20,21:20 - 21:25,21:25 - 21:30,21:30 - 21:35,21:35 - 21:40,21:40 - 21:45,21:45 - 21:50,21:50 - 21:55,21:55 - 22:00,22:00 - 22:05,22:05 - 22:10,22:10 - 22:15,22:15 - 22:20,22:20 - 22:25,22:25 - 22:30,22:30 - 22:35,22:35 - 22:40,22:40 - 22:45,22:45 - 22:50,22:50 - 22:55,22:55 - 23:00,23:00 - 23:05,23:05 - 23:10,23:10 - 23:15,23:15 - 23:20,23:20 - 23:25,23:25 - 23:30,23:30 - 23:35,23:35 - 23:40,23:40 - 23:45,23:45 - 23:50,23:50 - 23:55,23:55 - 00:00
4350444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.379801749780455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.61341769557002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4350451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.714093847827286,0,0,0,0,0,58.52005284456015,48.63225941784306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.93303645034221,0,0,0,0,0,43.66386121945933,0,0,0,0,0,0,0,0,0,1.761775054279765,0,0,0,0,33.72359470459577,0,0,0,0,0,0,39.56349184884119,0,0,0,0,0,0,28.41592988755035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.743856243993894,0,0,0,0,0,0,0,0,0,0,0,0,41.87196315487199,0,0,0,0,0,0,40.45914473506288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.221688229193497,0,0,0,0,0,0,46.27259516134494,0,0,0,0,0,48.435810279523054,36.40577884585215,0,0,0,0,0,0,0,46.78736924857323,0,0,42.691279143996006,0,0,6.14767663011757,0,0,0,0,0,0,0,0,0,0,41.24227181954588,0,0,0,0,0,0,0,0,0,0,46.07092493626335,0,0,0,0,46.38366187768981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.705877693076893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.19195011373829,0,0,0,0,0,0,0,0,0,0,28.699787663615552,0,0,0,44.90480784716667,0,0,0,0,0,54.830773325600646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.68426781132185,0,0,0,0,0,0,0,34.91611341279305,0,0,0,0,0,0,0,46.063359955508886,0,0,0,0,0,52.406212362273585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.11366213228077,0,0,32.19931498986732,0,0,0,0,0,32.622817573431796,0,0,0,0,0,0,0,0,0,0,0,0,0,36.535386402722345,0,0,0,0,0,0,32.8381680496602,0,0,0,0,0,0,0,0,0,0,0,0,0,33.358472557819304,0,0,0,0,0,0,33.52557412655547,0,0,0,33.21107933452666,0,0,0,0,0,0,0,0,0,0,33.442398266687505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.130466360451315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.123664935434363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.622567986205123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.450807252037448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.544210739880725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.841591271562883,0,13.007667137436187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.739257994433444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.265079040701096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.629021474126324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.370413051280666,0,0,0,0,17.449680500992034,13.166423807448234,0,0,0,7.023684785122447,0,0,0,0,0,0,17.805259425809123,0,0,0,0,0,0,0,0,0,0,0,0,6.56823345569134,0,0,0,0,0,0,0,0,0,0,0,0,23.99061264729126,0,0,0,0,16.324836350913948,0,0,0,0,0,17.74543779761902,10.182973659408987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.314978752885388,0,0,0,0,13.894551223678029,0,0,0,0,0,12.334466879119233,0,0,0,0,16.678561120310757,0,0,0,0,0,0,0,0,36.77675895417986,0,0,0,0,0,0,37.5629694992423,14.804889328460566,0,0,0,12.989118698687093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.107155194932671,0,0,0,0,0,0,0,0,0,12.287954103236103,20.520511115326812,0,12.687966276439097,0,0,0,0,0,0,0,0,18.493481374559494,27.32255225641299,0,0,10.580249210071557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
